事故原因分类代码（原文档出险原因分类代码）,AccidentReason
医疗费用类型代码,CostItemCode
医疗费用类型名称,CostItemName
医疗责任覆盖地区,MedicalCoverageArea 
异地理赔调查代码,RemoteClaimInvestigationCode
营业执照有效起期,BusiLicenseSDate
营业执照有效止期,BusiLicenseEDate
与被保人关系代码,RelationToInsured
与投保人关系代码,RelationToAppnt
重症最大给付次数,MajorDiseasesMaxBenefitNum
主险保险险种号码,MainProductNo
团险主险险种号码,MainGrpProductNo
最高保证续保年龄,MaxGuaranteedRenewableAge
最近红利分配日期,LstDistriDate
包含特需标志,VIPClinicFlag
保单管理费标志,PolicyFeeFlag
保险账户单位数,AccountUnitNumber
报案人出生日期,ReporterBirthDate
报案人客户编号,ReporterCustomerNo
报案人联系地址,ReporterContectAddress
报案人联系电话,ReporterContectNo
报案人性别代码,ReporterSex
报案人证件号码,ReporterCertNo
被保人出生日期,InsuredBirthDate
被保人客户编号,InsuredNo
被保人性别代码,InsuredSex
被保人证件编码,InsuredCertNo
被保人证件类型,InsuredCertType
变更后分保保额,ReinsuranceAmntChange
变更前分保保额,PreReinsuranceAmnt
变更前风险保额,PreRiskAmnt
变更前基本保额,PreBasicSumInsured
变更前账户价值,PreAccountValue
常住地址区编码,HomeCountry
常住地址省编码,HomeProvince
常住地址市编码,HomeCity
出险人出生日期,BirthDate
出险人客户编号,ClaimantNo
出险人性别代码,Sex
出险人证件号码,CertNo
单位可投保人数,CanInsurePeoples
第三方给付标志,OtherPaymentFlag
第三方给付金额,OtherPayment
个单投保单号码,ApplicationFormNo
工程造价变化量,ProjectCostChange
合同/临分标志,TreatyOrFacultativeFlag
黑名单客户编号,BlackListNo
黑名单类型代码,BlacListkMarkcode
黑名单状态代码,Status
家庭单类型代码,FamilyPolType
建工险工程造价,ProjectCost
建筑面积变化量,ProjectAcreageChange
借款/自垫期限,LoanTerm
借款/自垫日期,LoanDate
累计保单管理费,AccumMngFee
联系地址区编码,County
联系地址省编码,Province
联系地址市编码,City
领款人出生日期,PayeeBirthday
领款人性别代码,PayeeSex
领款人证件号码,PayeeCertNo
门诊特殊病标志,SpecialFlag
赔案号（缩写）,ClaimNo
期末责任准备金,FinalLiabilityReserve
申请人出生日期,ApplyerBirthDate
申请人客户编号,ApplyerCustomerNo
申请人联系地址,ApplyerContectAddress
申请人联系电话,ApplyerContectNo
申请人性别代码,ApplyerSex
申请人证件号码,ApplyerCertNo
生存金领取金额,BenefitAmount
受益人出生日期,BirthDate
受益人客户编号,ICCustomerNo
受益人类型代码,BnfCat
受益人性别代码,Sex
受益人证件号码,CertNo
投保单申请日期,PolApplyDate
投保人出生日期,AppntBirthDate
投保人电子邮箱,EMail
投保人固定电话,AppntFP
投保人居民类型,AppntResidentType
投保人客户编号,AppntNo
投保人手机号码,AppntMP
投保人性别代码,AppntSex
投保人证件号码,AppntCertNo
投保人职业代码,AppntOccupationType
新农合报销金额,NRCMSReimbursementMoney
养老金领至日期,PenGetTodwlDate
养老金起领日期,PenStartWithdwlDate
一次性告知时间,OneTimeInform
犹豫期截止日期,HesitateExpirationDate
再保险公司代码,ReinsurerCode
再保险公司名称,ReinsurerName
再保险合同号码,ReInsuranceContNo
再保险合同简称,ReInsuranceContTitle  
再保险合同名称,ReInsuranceContName 
被保人证件号码,InsuredCertNo
中短存续期产品,ShortDurationProduct
主被保人客户号,MainInsuredNo
主附险性质代码,MainProductFlag
保单贷款比例,LoanRatio
保单贷款期限,LoanPeriod
保单寄送标志,ContSendFlag
保单满期日期,PolicyEndDate
保单生效日期,EffDate
保单贴现标志,ViaticalSettlementsFlag
保单形式代码,PolicyType
保单中止日期,SuspendDate
保单终止日期,TerminationDate
保单状态代码,PolStatus
保监产品编码,CircRiskCode
保全发生费用,EdorMoney
保全批单号码,EndorsementNo
保全确认日期,EdorConfDate
保全申请日期,EndorsementApplicationDate
保全生效日期,EdorValiDate
保全受理号码,EndorAcceptNo
保全项目类型,EdorType
保险机构代码,CompanyCode
保险帐户号码,InsuAccNo
保险账户价值,AccountValue
保证续保标志,GuaranteedRenewableFlag
保证续保年限,GuaranteedRenewablePeriod
报案方式代码,ReportMode
报案注销标志,RecallFlag
报案注销日期,RecallDate
被保人客户号,InsuredNo
变更分保佣金,ReinsuranceCommssionChange
变更后自留额,RetentionAmount
变更前自留额,PreRetentionAmount
补/退费金额,GetMoney
补/退费类型,GetType
补/退费日期,GetDate
材料齐备日期,AffixGetDate
财务确认日期,ConfDate
参加工作日期,StartWorkDate
产品起售日期,StartDate
产品停售日期,StopDate
产品英文简称,PorductEnAbbr
产品英文名称,ProductEnName
常住地址街道,HomeStreet
承保地区代码,EffPrefectureCode
除外责任标志,ExceptDutyFlag
除外责任原因,ExceptDutyRemark
从业人员编码,AgentCode
从业人员姓名,Name
单位性质代码,GrpNature
当期红利金额,CurrentDivAmnt
当期责任保费,CurrentPremium
当前借款金额,AccumLoanMoney
电话回访标志,CallReturnFlag
定期结算标志,RegularClearingFlag
发票打印日期,InvoicePrintDate
发票分项代码,SubFeeCode
发票分项金额,SubFee
发票分项名称,SubFeeName
发票分项税额,SubTaxAmount
发票分项税率,SubTaxRate
费改产品标志,ChangeFeeProduct
费用扣减金额,FeeDeductibleAmount
分保计算日期,ReComputationsDate
付费方式代码,GetWay
付费类型代码,GetType
个人账户余额,AccountBalance
个人支付金额,Payment
给付责任代码,GetLiabilityCode
给付责任名称,GetLiabilityName
公估机构编码,AdjusterCode
公估机构名称,AdjusterName
管理机构代码,ManageCom
管理机构名称,ManageComName
行业分类代码,BusinessType
合同附约类型,ContOrAmendmentType
合同签署日期,ContSigndate         
合同生效起期,PeriodFrom                
合同生效止期,PeriodTo               
核保结论代码,UWConclusion
核保结论说明,UWDesc
核保类型代码,UWType
核保完成日期,UWDate
核赔机构代码,ManageCom
核赔机构名称,ManageComName
核赔结论描述,ClaimDesc
核赔赔付金额,ClmAssessAmnt
核赔通过日期,ClaimCheckDate
核算赔付金额,ClmAcountAmnt
红利类型代码,DivType
红利领取金额,DivAmntDraw
红利领取日期,DivDrawDate
回访成功标志,RtrCallSuccFlag
婚姻状况代码,MarriageStatus 
疾病类型代码,DiseaseType
驾照类型代码,LicenseType
监管辖区代码,CircPopedomCode
健康状况代码,HealthCondition
交费方式代码,PayWay
交费间隔代码,PayMode
交费收据号码,ReceiptNo
缴纳社保标志,SocialInsuFlag
净资产收益率,NetProfitRate
居民类型代码,ResidentType
拒保原因代码,DeclinedReason
拒付原因代码,RefusePaymentReason
拒付原因描述,RefusePaymentReasonDesc
具体出险地点,Street
劳动关系代码,AgentSignFlag
累计风险保费,AccumRiskPremium
累计红利保额,AccumDivSI
累计红利金额,AccumDiv
累计红利利息,AccumDivInt
累计赔付次数,AccumClmTimes
累计赔付金额,AccumClmBenefit
理赔结论代码,PayStatusCode
理赔类型代码,PayTypeCode
理赔调查标志,ClaimInvestigationFlag
联系地址街道,Street
免赔类型代码,DeductibleType
明细费用编码,MedicalDetailCode
纳税人开户行,TaxpayerBankCode
纳税人识别号,TaxpayerID 
年金领取类型,AnnuityType
年金领至日期,AnnGetTodwlDate
年金起领日期,AnnStartWithdwlDate
期初责任保额,InitialAmnt
期初责任保费,InitialPremium
期末现金价值,FinalCashValue
其它投保人数,OtherPeoples
其中起付金额,PaymentFrom
商业分保标志,ReInsuranceFlag
社保登记证号,SocietyRegistNo
审核通过标志,CaseReviewPassFlag
审核通过日期,CaseReviewDate
实际到账日期,EnterAccDate
实际赔款金额,ClaimMoney
实际住院天数,HospitalStay
收据赔付金额,ReceiptClaimAmount
手术津贴标志,OperationAllowanceFlag
首期交费日期,PayBeginDate
受益顺序代码,BnfLevel
税率调整起期,TaxRateValidDate
税率调整止期,TaxRateExpiryDate
税务登记证号,TaxRegistNo
死亡原因代码,DeathReason
摊回赔款金额,BackClaimMoney
特别约定内容,SpecialAgreement
特殊业务标志,SpecificBusiness
特殊业务代码,SpecificBusinessCode
投保人年收入,AppntSalary
团个性质代码,GPFlag
退回分保佣金,ReturnReinsuranceCommssion
退休投保人数,OffWorkApplyPeoples
险种终止日期,TerminationDate
销售渠道代码,DistribChnl
小额案件标志,MicroClmFlag
小额结案时间,MicroClmSettDate
协议给付合计,AgreeAmnt
续保前保单号,FormerPolicyNo
续期续保次数,RenewalTimes
业务类型代码,BusinessType
业务确认日期,BusinessDate
医保类型代码,InsuranceType
医院性质代码,HospitalNature
异常告知标志,AnomalyInformFlag
异常告知说明,AnomalyInformDesc
银行账户名称,AccName
营业执照号码,BusiLicenseCode
佣金核算方式,ChargeType
预期红利金额,ExpectedDivAmnt
在售标记代码,SaleFlag
在职投保人数,OnWorkApplyPeoples
在职状态代码,ServiceFlag
责任分类代码,Classification
责任风险保额,RiskAmnt
责任累计保费,AccumPremium
责任生效日期,EffDate
责任有效保额,EffectiveAmnt
责任终止日期,InvalidDate
责任状态代码,Status
账单归属日期,AccountGetDate
账户成立日期,AccountDate
账户交易类型,MoneyType
账户交易序号,SerialNo
账户类型代码,AccType
诊断类型代码,DiagnosisTypeCode
整单特约标志,ContSpecialFlag
整单特约内容,ContSpecialRemark
证件类别代码,CertType
证件类型代码,InsuredCertType
证书结束日期,CertEndDate
证书开始日期,CertStartDate
职业加费金额,ProfessionalFee
重大疾病代码,CriticalIllnessCode
重疾给付方式,MajorDiseasesBenefitType
重开案件标志,ReOpenCaseFlag
重症监护天数,IntensiveCareDays
主被保险人数,MainInsurePeoples
主险产品编码,MainProductCode
组织机构代码,OrganizationNo
最低保证利率,MinInterestRate
最低投保年龄,MinAppAge
最高投保年龄,MaxAppAge
最晚结算日期,PremiumDueDate
数据抽取时间,ETL_DATE
报案人编码,ReporterNo
报案人姓名,ReporterName
备用字段1,DataField1
备用字段2,DataField2
备用字段3,DataField3
被保人名称,InsuredName
被保人姓名,InsuredName
本次单位数,UnitCount
变更分保费,ReinsurancePremiumChange
变更前保费,PrePremium
不立案原因,NoRegisterReason
出境目的地,ArriveCity
出险人姓名,Name
单位总人数,Peoples
发票总金额,InvoiceAmount
发票总税额,TaxAmount
分保佣金率,ReinsuranceCommssionRate
个人保单号,PolicyNo
黑名单日期,BlackListDate
户口所在地,RgtAddress
回访顺序号,SerialNo
豁免险标志,WaiverFlag
家庭单标志,FamilyFlag
建工险标志,ProjectFlag
津贴型标志,AllowanceType
津贴型日额,DailyAllowanceAmnt
可投保性别,AppSex
可销售渠道,SalesChannels
累计手续费,AccumCommission
理赔赔案号,ClaimNo
联系人电话,ContactTel
联系人手机,ContactPhone
联系人姓名,ContactName
领款人号码,PayeeNo
领款人姓名,PayeeName
满期金金额,AccumMaturityWD
免赔额类别,DeductibleCategory
纳税人地址,TaxpayerAddress
纳税人电话,TaxpayerPhone
纳税人类别,TaxpayerType 
纳税人名称,TaxpayerName 
区/县编码,County
社保登记号,SocialInsuNo
申请人编码,ApplyerNo
申请人姓名,ApplyerName
生存金类型,BenefitClass
受益人姓名,Name
受益人序号,BnfSerialNum
摊回理赔款,ReturnClaimPay
摊回满期金,ReturnMaturity
摊回生存金,ReturnLivBene
摊回退保金,ReturnSurrenderPay
投保年龄,AppntAge
投保人国籍,AppntCountry
投保人名称,AppntName
投保时年龄,AppAge
投保总人数,InsurePeoples
团体保单号,GrpPolicyNo
退回分保费,ReturnReinsurancePremium
无名单标志,AnonymousFlag
新农合标志,NRCMSFlag
医院所属地,HospitalRegion
犹豫期天数,HesitateDays
执业证号码,BusiDevCertifNo
自付二金额,PaymentB
自付一金额,PaymentA
总垫交金额,APLMoney
交易编码,TransactionNo
EM加点,EMRate
保单来源,PolicySource
保单年度,PolYear
保单余额,PolBalance
保险年期,InsurancePeriod
报案日期,ReportDate
被保人数,InsurePeoples
本次金额,Money
产品编码,ProductCode
产品简称,ProductAbbr
产品名称,ProductName
成立日期,FoundDate
出生日期,BirthDate
出险地点,LossOccurLocation
出险描述,AccidentDesc
出险日期,LossOccurDate
出院日期,DischardeDate
单位传真,Fax
单位电话,Phone
单位邮编,ZipCode
当期保费,Premium
当前年龄,PreAge
到账日期,EnterAccDate
发票代码,InvoiceCode
发票号码,InvoiceNo
发票类型,InvoiceType
发票种类,InvoiceClass
发票状态,InvioceState
费用金额,FeeAmount
费用类型,FeeType 
费用序号,SequenceNo
分保保额,ReinsuranceAmnt
分保比例,QuotaSharePercentage
分保方式,ReinsurMode
分保佣金,ReinsuranceCommssion     
分出标记,SaparateFlag
风险保额,RiskAmnt
服务评价,SaleJudge
给付金额,BenefitAmount
给付日期,BenefitDate
公估费用,AssessmentMoney
共保比例,CoInsurancePercentage
共保标志,CoInsuranceFlag
国籍代码,Country
还款金额,RepaymentMoney
还款利息,RepaymentInterest
还款日期,RepaymentDate
还清标志,PayOffFlag
合同类型,ContType
合同属性,ContAttribute
合同状态,ContStatus
核销日期,RecogDate
红利金额,DivAmnt
红利年度,DivYear
回访电话,ReturnCall
回访类型,ReturnCallType
回访日期,RtrCallSuccDate
货币代码,Currency
基本保额,BasicSumInsured
疾病代码,DiseaseCode
疾病名称,DiseaseName
计价单位,Unit
计息日期,InterestStartDate
加费标志,AddFeeFlag
加费原因,AddFeeRemark
兼职代码,PartTimeOccupationType
兼职描述,PartTimeOccupation
交费金额,PayAmnt
交费年期,PayTerm
交费序号,PayNo
交易编码,TransactionNo
交易金额,TransAmnt
交易日期,TransDate
交至日期,CurPaidToDate
结案日期,ClmSettDate
结婚日期,MarriageDate
结算汇率,CurrentRate
结算利率,BalanceRate
结算日期,PairingDate
结算状态,PairingStatus
借款限额,LoanLimitMoney
拒赔金额,RejectAmnt
卡单标志,CardFlag
开办地区,OpenArea
开票机构,TaxCompanyCode
客户编号,CustomerNo
来源保单,ContSource
来源账户,AccountSource
累计保费,AccumPremium
累计交费,AccumPay
累计领取,AccumDwAmnt
立案标志,RegisterFlag
立案日期,RegisterDate
利率类型,InterestMode
利息方式,InterestType
临分标记,FacultativeFlag
领取序号,WDNo
领至日期,WithdrawalToDate
门诊日期,ClinicDate
民族代码,Nationality
内勤标志,OfficeWorkFlag
赔付比例,ClaimRatio
赔付金额,ClaimAmnt
批单号码,EndorsementNo
签单日期,SignDate
轻症数量,MildDiseaseNum
确认日期,ConfDate
伤残代码,DisabilityCode
伤残等级,DisabilityLevel
申请日期,ApplyDate
身体指标,BMI
审核意见,CaseReviewOpinion
生调标志,InvestigationFlag
生育标志,BirthFlag
失效原因,ExpiredReason
实付号码,ActuGetNo
实付金额,SumActuGetMoney
实交金额,SumActuPayMoney
事故经过,AccidentCourse
收据编号,ReceiptNo
手术标志,OperationFlag
手术代码,OperationCode
手术名称,OperationName
受益比例,PercentOfBenefit
受益金额,DrawingAmnt
死亡标志,DieFlag
死亡日期,DeathDate
摊回金额,BackBenefitAmount
摊回年金,ReturnAnnuity
摊回日期,BackDate
特约标志,SpecialFlag
特约内容,SpecialRemark
体检标志,PhysicalExamination
调查结论,InvestigationConclusion
退保金额,SurrenderAmnt
退休人数,OffWorkPeoples
险类代码,ProductType
现金价值,CashValue
协调标志,CoordinateFlag
协调原因,CoordinateReason
性别代码,Sex
续保次数,RenewalTimes
学历代码,EducateLevel 
阳性标志,PositiveFlag
业务号码,BusinessCode
业务类型,BusinessType
医院代码,HospitalCode
医院名称,HospitalName
银行编码,BankCode
银行名称,BankName
银行账号,BankAccNo
印刷号码,PrtNo
佣金比例,CommissionRate
佣金金额,CommissionAmount
预定利率,AssumIntRate
预付金额,PrePayAmnt
原赔案号,OriginClaimNo
再保类型,ReInsuranceType
在职人数,OnWorkPeoples
责任代码,LiabilityCode
责任名称,LiabilityName
账单编号,AccountID
账单起期,AccountingPeriodfrom
账单止期,AccountingPeriodto
账单状态,AccountStatus
证件号码,CertNo
职务代码,Position
职业代码,OccupationType
职业描述,Occupation
终交日期,FinalPayDate
重疾数量,MajorDiseasesNum
主营业务,MainBussiness
住院日期,InHospitalDate
注册资本,RegistMoney
专职标志,FullTimeFlag
资产总额,Asset
自费金额,OwnExpense
自留比例,RetentionPercentage
吸烟标志,SmokeFlag
报案号,ReportNo
等待期,WaitingPeriod
分保费,ReinsurancePremium
开票人,Drawer
立案号,ClmRegisterNo
流水号,SerialNo
免赔额,Deductible
免责期,WaitingPeriod
年收入,Salary
赔案号,ClmCaseNo
批次号,BatchNo
省编码,Province
市编码,City
询价号,EnquiryNo
自留额,RetentionAmount
总金额,LoanMoney
保额,SumInsured
保费,Premium
单价,UnitPrice
法人,Corporation
份数,Copies
驾照,License
街道,Street
金额,Money
利率,InterestRate
身高,Height
数量,Quantity
税额,TaxRateAmount
税率,TaxRate
体重,Weight
姓名,Name
